['?', 97, 1]
['?', 454, 22]
['?', 367, 22]
[458, '?', 4]
['?', 477, 4]
['?', 380, 5]
[0, '?', 9]
[347, '?', 11]
['?', 348, 11]
[322, '?', 21]
[234, '?', 4]
[296, '?', 1]
['?', 198, 1]
[123, '?', 24]
['?', 344, 24]
[480, '?', 4]
['?', 483, 4]
[41, '?', 9]
['?', 80, 10]
[235, '?', 4]
['?', 234, 4]
[201, '?', 1]
['?', 157, 10]
[240, '?', 10]
['?', 301, 10]
[34, '?', 4]
['?', 33, 4]
[27, '?', 21]
['?', 29, 6]
[127, '?', 23]
['?', 468, 24]
[249, '?', 4]
['?', 328, 4]
[148, '?', 9]
['?', 154, 9]
[486, '?', 4]
['?', 473, 4]
[397, '?', 17]
['?', 398, 17]
['?', 115, 6]
['?', 564, 4]
[26, '?', 6]
[257, '?', 10]
['?', 258, 10]
[479, '?', 3]
['?', 481, 3]
['?', 29, 18]
[219, '?', 25]
[604, '?', 1]
[477, '?', 9]
[338, '?', 3]
['?', 336, 3]
[149, '?', 21]
[491, '?', 3]
['?', 489, 3]
[465, '?', 11]
['?', 466, 11]
[460, '?', 3]
['?', 83, 3]
['?', 19, 4]
[423, '?', 4]
['?', 78, 1]
[638, '?', 9]
[381, '?', 5]
['?', 435, 5]
[14, '?', 27]
['?', 15, 27]
[106, '?', 6]
['?', 244, 10]
[206, '?', 4]
['?', 205, 4]
[382, '?', 25]
[48, '?', 1]
['?', 285, 22]
[428, '?', 21]
[489, '?', 5]
['?', 491, 5]
[168, '?', 23]
[13, '?', 4]
[491, '?', 4]
[235, '?', 5]
['?', 244, 18]
[297, '?', 1]
['?', 295, 1]
[562, '?', 10]
['?', 561, 10]
[48, '?', 6]
['?', 49, 6]
['?', 361, 4]
[124, '?', 21]
['?', 600, 24]
['?', 27, 18]
['?', 490, 4]
['?', 148, 22]
['?', 81, 4]
['?', 242, 27]
[373, '?', 18]
['?', 147, 18]
[8, '?', 10]
['?', 104, 10]
[618, '?', 11]
['?', 619, 11]
[209, '?', 21]
[114, '?', 22]
['?', 209, 22]
[224, '?', 28]
[236, '?', 26]
['?', 235, 26]
['?', 91, 6]
[262, '?', 28]
['?', 296, 24]
['?', 164, 5]
[628, '?', 12]
['?', 627, 12]
[22, '?', 24]
['?', 23, 24]
['?', 59, 1]
[265, '?', 6]
[455, '?', 26]
['?', 454, 26]
[87, '?', 28]
[317, '?', 9]
['?', 214, 5]
['?', 296, 1]
['?', 140, 4]
['?', 0, 10]
[516, '?', 3]
['?', 351, 3]
[454, '?', 5]
['?', 102, 5]
[204, '?', 4]
['?', 203, 4]
[65, '?', 1]
[337, '?', 9]
[588, '?', 11]
['?', 589, 11]
[139, '?', 7]
['?', 103, 7]
[394, '?', 28]
[10, '?', 4]
['?', 9, 4]
[168, '?', 16]
['?', 167, 16]
['?', 601, 1]
['?', 604, 18]
['?', 460, 10]
[236, '?', 9]
[10, '?', 3]
['?', 206, 3]
['?', 379, 4]
[304, '?', 4]
['?', 38, 4]
[82, '?', 3]
['?', 52, 3]
[16, '?', 9]
[29, '?', 6]
[565, '?', 12]
['?', 393, 12]
['?', 344, 22]
[152, '?', 6]
[46, '?', 0]
['?', 93, 0]
[564, '?', 5]
['?', 563, 5]
['?', 102, 1]
['?', 77, 4]
[294, '?', 1]
['?', 297, 1]
[163, '?', 5]
['?', 462, 5]
[287, '?', 1]
['?', 285, 1]
[98, '?', 1]
[519, '?', 12]
['?', 518, 12]
[212, '?', 1]
['?', 244, 1]
[239, '?', 9]
['?', 219, 1]
[483, '?', 5]
['?', 337, 5]
['?', 386, 25]
[38, '?', 5]
['?', 37, 5]
[56, '?', 20]
['?', 641, 20]
[367, '?', 6]
['?', 301, 1]
[140, '?', 25]
['?', 140, 25]
[561, '?', 9]
['?', 562, 9]
[461, '?', 4]
['?', 460, 4]
[600, '?', 21]
['?', 226, 22]
['?', 545, 22]
[208, '?', 3]
[342, '?', 9]
[428, '?', 16]
['?', 115, 10]
[37, '?', 3]
['?', 38, 3]
[339, '?', 5]
['?', 341, 5]
[599, '?', 21]
[362, '?', 5]
['?', 361, 5]
['?', 475, 4]
[338, '?', 4]
[559, '?', 12]
['?', 558, 12]
[34, '?', 9]
[510, '?', 1]
[35, '?', 5]
['?', 334, 5]
[140, '?', 3]
['?', 137, 3]
['?', 218, 25]
['?', 140, 26]
['?', 139, 5]
['?', 320, 1]
['?', 600, 18]
[218, '?', 16]
['?', 98, 10]
[166, '?', 9]
['?', 297, 22]
[224, '?', 11]
['?', 225, 11]
[287, '?', 6]
['?', 28, 24]
[212, '?', 25]
['?', 212, 25]
['?', 469, 27]
['?', 104, 1]
[329, '?', 5]
